start_column,name,size,type,description
1,TIPO DE REGISTRO,1,N,CONTEM O VALOR 2 PARA IDENTIFICAR O REGISTRO DETALHE SOCIOS
2,INDICADOR-FULL-DIARIO,1,A,"INDICA FORMA DE ENVIO DO ARQUIVO :
F – QUANDO FULL"
3,TIPO DE ATUALIZACAO,1,A,"NO CASO DE ENVIO FULL, ESTE CAMPO ESTA EM BRANCO."
4,CNPJ,14,A,CONTEM O NÚMERO DE INSCRIÇÃO NO CNPJ (CADASTRO NACIONAL DA PESSOA JURÍDICA).
18,IDENTIFICADOR DE SOCIO,1,N,"1 – PESSOA JURÍDICA
2 – PESSOA FISICA
3 – ESTRANGEIRO"
19,NOME SOCIO,150,A,"CORRESPONDE AO NOME SOCIO PESSOA FISICA, RAZÃO SOCIAL E/OU NOME EMPRESARIAL DA PESSOA JURÍDICA E NOME DO SÓCIO/RAZAO SOCIAL DO SOCIO ESTRANGEIRO"
169,CNPJ/CPF DO SOCIO,14,A,"É PREENCHIDO COM CPF OU CNPJ DO SOCIO, NO CASO DE SÓCIO ESTRANGEIRO É PREENCHIDO COM ‘NOVES’ O ALINHAMENTO PARA CPF É FORMATADO COM ZEROS À ESQUERDA."
183,CODIGO QUALIFICACAO SOCIO,2,A,CODIGO QUALIFICACAO SOCIO
185,PERCENTUAL CAPITAL SOCIAL,5,N,PERCENTUAL CAPITAL SOCIAL
190,DATA ENTRADA SOCIEDADE,8,N,DATA DE ENTRADA NA SOCIEDADE
198,CODIGO PAIS,3,A,CODIGO PAIS DO SOCIO ESTRANGEIRO
201,NOME PAIS SOCIO,70,A,CORRESPONDE AO NOME DO PAIS DO SÓCIO
271,CPF REPRESENTANTE LEGAL,11,A,CORRESPONDE AO NÚMERO DO CPF DO REPRESENTANTE LEGAL
282,NOME REPRESENTANTE LEGAL,60,A,CORRESPONDE AO NOME DO REPRESENTANTE LEGAL
342,CODIGO QUALIFICACAO REPRESENTANTE LEGAL,2,A,CORRESPONDE AO CÓDIGO DA QUALIFICACAO DO REPRESENTANTE LEGAL
344,FILLER,855,A,BRANCOS
1199,CAMPO DESCONHECIDO,1,A,Essa parte do registro não veio especificada pela Receita Federal
1200,FIM REGISTRO,1,A,PREENCHIDO COM ‘F’ INDICANDO FINAL DE REGISTRO.
